,comment
0,Народ тебя никогда не забудет
1,"Желаю путину всего того , что он сделал для народа !!! Очень искренне"
2,"Зашёл сюда не послушать,  а почитать! Сильно улыбнуло)))"
3,"2046 год. Путин: ""Год был непростым, прошу отнестись с пониманием. Я очень устал, но я остаюсь с вами. Над страной нависла опасность, и только я ее могу спасти и не отдать врагам"""
4,"Я ждал что он скажет ""уходящий год был непростым"")))"
5,Как народ любит Путина. Смотреть комментарии без смс и регистрации.  😃
6,Пусть чаще рождаются дети говорит. Да в таких условиях мало кто обдуманно рожать хочет
7,Дорогие люди! Читать Ваши комментарии про этого упыря это бальзам на душу.
8,У этого персонажа в уходящем году действительно есть одно ценное достижение - ютуб убрал дизлайки
9,"Путин: ""этот год был не простым, но у вас, у меня то всё збс"" ))"
10,"""Куда уж хуже"" - задаюсь я каждый раз но потом приходят ""новые инициативы"""
11,Путин:Этот год был непростым.(Шёл 2036год).
12,За 20 лет одно и то же. Благосостояние у меня выросло)
13,"Славяне,будут звать на войну ,не ведитесь,милые ,родные!"
14,Мечтаем в этом году увидеть о чём мечтали в прошлом и позапрошлом году увидеть лебединое озеро по тв.
15,Пожалуйста не закрывайте коментарии мы просто общаемся
16,"он даже тут наврал , сказав что от коронавируса погибли десятки тысяч человек , а на самом деле погибли сотни тысяч и в стране катастрофическая смертность"
17,"По коментариям, прямо таки- народный президент😂😂😂 НТВ с этой любовью не справляется, коменты отключены😂"
18,Самые коварные болезни в России-это коррупция и деградация.
19,"Каждый год о трудностях, безопасности граждан и надежде на лучшую жизнь."
20,Каждый новый год когда начинается это обращения я переключаю канал дабы не портить себе новогодние настроение
21,Желаю ему пожить на пенсию врачей и зарплату работяг
22,"Все мы ждали только слов ""Я устал я ухожу"" но судя всему не в этот раз а жаль"
23,"там где власть меняется регулярно нет таких отлаженных коррупционных механизмов, всегда у чиновников страх - ""а вдруг с новыми не договорюсь и понесу ответственность за воровство и превышение?"" так и мелкий чиновник думает и крупный, даже президент. А когда 20 лет ""все свои в доску"" - можно воровать, ничего ж не будет за это"
24,.. с таким текстом и с такой атмосферой можно на поминках выступать !
25,"Искренне желаю испытать на себе лично все принятые меры, реформы, решения! Быть добру!"
26,"Шконка тебя ждёт. Ответишь не по понятиям, а по закону."
27,Год был не простым
28,"У меня есть Новогодняя традиция: каждый год с 31 декабря на 1 января я читаю комменты россиян под Новогодним обращением ""молодого и энергичного лидера"" России! Оказывается, что это очень интересно, познавательно и весело! ))))))))))))"
29,Откуда столько лайков? Центризбирком похож выкупил Ютуб 😂
30,"Читаю комментарии, это лучшее поздравление с Новым годом, что может быть лучше веры в людей, с которыми живешь в одной стране, в городе, улице, доме, подьезде. С Новым годом, товарищи!"
31,Судя по комментам сразу видно: 73% за Путина!
32,Странно что комменты не отключили🤣 доброго слова не найдется для этого🙄
33,"На «Листвяжной» особенно сильно «поработали» «уважаемые граждане и дорогие друзья». Спасибо вам, россияне, что терпите эту эксплуататорскую власть и относитесь с пониманием к тому как об вас олигархи ноги вытирают совместно с чиновниками."
34,"Желаю ему всего того, что он сделал россиянам."
35,"Вся страна ждала- ""Я устал от воровства ,лжи и убийств.Я ухожу и забираю с собой всю воровскую кодлу."" Опять всех обманул((👎🖕👎"
36,"""Год был не простым"""
37,покажите дизлайки - поднимите людям настроение
38,Зашёл чисто чтоб дизлайк поставить и вышел.
39,"слово ""нашей"" надо заменить на ""моей"" - и всё будт гармоничнее звучать, может даже споёт в 2023)"
40,"От всей души желаю царьку пожить на зарплату так называемого «среднего класса»,заплатить с неё коммуналку ,штрафы,налоги.Очень жаль что дизы не видно,но по комментариям народная любовь так и прет😂.Это не президент ,а лживое ботоксное позорище!!!"
41,"1к за 2,2к против...Просто статистика, для тех кто не поставил себе еще расширение"
42,"Смотрели  Новогоднее поздравление блогера на которого подписан, так там и просмотров  и лайков больше чем у персонажа, кто, что заслужил"
43,"Я ухожу, это самое главное что я хочу услышать в обращение"
44,"Желаю тебе ВВП ощутить на собственной шкуре все те мучения, что ты дал своему народу."
45,"ставьте лайк на мой коммент , кто считает что ему пора на пенсию , посчитаем его реальный рейтинг."
46,Ставьте и дизлайки.
47,Хорошее поздравление. Боюсь ехать на заправку. Именно там цифры показывают где наше место из года в год.
48,"В стране стало меньше людей на миллион, благодаря тебе, Вова."
49,Может у него под пальто усмирительная рубашка. 🧐 Дед сошёл с ума 🤪
50,С Новым годом из Украины! Всем добра!
51,"Народ устал от вранья лжи и лицемерия 22 года, бедствия краха и Нищеты!!!!"
52,Это невозможно уже слушать и слышать 20 лет подряд. Не пора ли сменить пластинку и проигрыватель?
53,"Удивительно,как он не вспомнил о""прорыве""в области Гиперзвукового вооружения..."
54,"И вновь продолжается бой! И сердцу тревожно в груди. И Ленин такой молодой, и юный октябрь впереди!!!"
55,"Говоришь экономику поднял.?! А где нам достойная пенсия.?! В офшорах у нас счетов НЕТ. Как врал, так и бла, бла, бла. Когда ты уже уйдёшь. Ты заноза в развитии России."
56,"Красивые слова, только и всего."
57,Тошнотворная власть негодяев и мерзавцев.
58,"два бронежелета одел что ли, слишком холодно было"
59,"Даже у Новогоднего обращения Куплинова больше просмотров, чем здесь. Это многое говорит о нашем обществе"
60,"Прав был Задорнов -лилипутин одним словом. Слова красивые, а дела лилипутские!"
61,2млн подписчиков а за час даже 5т просмотров нет.популярность зашкаливает
62,"❤️ Самое ценное, что можно сделать в 2022 году - узнать Истинный Смысл Жизни, своё предназначение во вселенной!"
63,"""Спасибо"" Грефу, Фридману,"
64,"Читаю коменты и понимаю как любят Путина жители России🤣🤣🤣🤣🤣. Но всё же  я желаю всем гражданам России в Новый год мудрости,радости,здоровья,благополучия и счастья. Приймите эти поздравления из Киева🌲🌲🌲🌲"
65,"Зашёл почитать комментарии,  жалко дизлайки не видно, вова уходи, и верни наворованные деньги народу!!"
66,"Спасибо,за ежегодные обещания,спасибо что не изменяете своим принципам по отношению к народу ,который благодарит вас  за поднятие страны с колен,строительства заводов,фабрик,дорог,самой лучшей медицины в мире куда приезжают лечится иностранцы,самое лучшее среднее и высшее оброзавание,за рабочие места с достойной зарплатой за пенсии на которые старшее поколение путешествует по миру,как обещал СИЛУАНОВ.Будем верить, надеяться на всеми любимого и избраного руководителя страны, ждать результатов обещанного и новых обещаний в 2023 г.."
67,Безопасность граждан...
68,"Как можно верить в Бога, карму и тп., если всё страна его проклинает, а он до сих пор прекрасно себя чувствует и продолжает издеваться над населением"
69,"Вот они, 80% поддержки. Лови"
70,"владимир владимирович, прошу к комментам отнестись с пониманием"
