,comment
0,Новогоднее обращение которое приятно смотреть! Спасибо Вам Екатерина Михайловна! Удачи Вам в Новом году
1,"С Новым годом, Екатерина Михайловна!!! Вы - лучшее, что случалось с нами в этом тяжёлом 2021"
2,"Невероятная умница Екатерина! Дарит крылья, силу, веру в себя и оптимизм! Спасибо Вам! И наилучшие пожелания! За Вами хочется идти!"
3,"С Новым годом, уважаемая Екатерина Михайловна! Спасибо вам за вашу деятельность. Желаю здоровья и счастья вам и вашим близким"
4,"В этом году я открыла для себя вас, Екатерина Михайловна. Это лучшее открытие года. Спасибо️"
5,"Екатерина Михайловна, спасибо большое за альтернативу новогодней ночи!!! и за все, что вы делаете! Благополучия вам!"
6,"Екатерина Михайловна, с новым годом вас! Здоровья вам и вашей семье, счастья и благосостояния в следующем году."
7,"Одно из лучших обращений, приуроченному к 2022 году. Спасибо, что дарите широкой аудитории разный спектр академических знаний"
8,"Настолько понравилось ваше обращение, что второй раз переслушал  Спасибо, У вас однозначно можно поучиться настойчивости, Всего Вам Наилучшего "
9,Катенька. какая радость слышать Вас в новогоднюю ночь с Вашими поздравлениями!
10,"Речь, после которой настроение улучшается даже 1 января! Браво, Екатерина Михайловна!"
11,"С Новым годом, Екатерина!!!! Всяческого продвижения вашему каналу!!!!!"
12,"Екатерина, с Новым Годом! Ждём вас в следующем году. Здоровья вам и творческих успехов. Вы лучшая!"
13,"Я надеюсь, доживу до момента, когда обращение президента буду смотреть с такой же теплотой, как смотрю обращение Екатерины Михайловны сейчас."
14,С новым годом! Екатерина Михайловна! Отличный формат! Успехов вам!!! Спасибо за то что вы делаете!
15,"Вот это обращение, которое действительно приятно смотреть!"
16,"Прекрасные пожелания от прекрасной, умной и позитивной женщины!"
17,"Екатерина Михайловна, поздравляем! Мы с мужем встретили полночь под эту речь! Спасибо Вам за всё "
18,"Так приятно, что Екатерина Михайловна поздравляет нас с Новым годом! Поздравление здорового человека! Спасибо!"
19,"Вот это поздравление ,ничего лишнего,все по делу,да еще какая мотивация.Это лучшее поздравление за этот год!Подписываюсь на канал!"
20,"Большое вам спасибо, Екатерина Михайловна. И за слова, и за посыл и за все, что вы делаете!"
21,"С Новым годом и Вас,  дорогая Екатерина Михайловна! "
22,"Екатерина Михайловна, спасибо! То, что вы делаете - очень важно для многих и многих людей! Вы - наш луч света в темном царстве! С Новым годом! Пусть он будет добрым)"
23,"С новым годом, наша потрясающая Екатерина Михайловна."
24,"Посмотрела обращение сами-знаете-кого в 00.00. Так вот там уже как 20 лет набор слов, соединены между собой - мы вместе, давайте помогать, каждый россиянин празднует и чувствует единение. "
25,"Спасибо!!!! С Вами связаны все надежды, что у нашей страны есть будущее. Желаю вам благополучия и здоровья!"
26,"Какое счастье слышать вас в этот предновогодний вечер, особенно на этом вот фоне!С наступающим Новым годом вас, Екатерина великая и прекрасная! Здоровья и счастья на многие годы "
27,Спасибо!!! Наконец-то человеческое и мудрое поздравление на фоне курантов
28,"Уважаемая Екатерина Михайловна, огромная Вам благодарность за поздравление. Вы луч света в темном царстве. Ваша просветительская работа дает понимание политических процессов и надежду миллионам людей на положительные изменения в стране."
29,"С Новым годом, Екатерина Михайловна! Спасибо за поздравление, за все "
30,"Какая Вы удивительная, Екатерина Михайловна! Как особенно приятно видеть Ваше лицо и слушать Вас именно на этом фоне.  Присоединяюсь к поздравлениям!"
31,С новым годом! Всех благ! Здоровья вам и всей вашей семье! Благодарю за ваш неустанный труд дарить веру нашим сердцам!
32,"С Новым годом и  Вас,Екатерина, удачи успехов и  Мира. Спасибо Вам  за то доброе и светлое,что Вы несёте"
33,"Вот, до слез, как правильно и верно, дающая надежду, самое лучшее, от самой замечательной!!! Спасибо за веру в нас! И для нас. С новым годом!!!"
34,Обожаю Екатериночку Михайловну. Всегда нас радует чем-то . С Новым годом!
35,"Спасибо огромное, Екатерина Михайловна Вам и тем, кто участвовал в создании столь замечательного новогоднего обращения! С наступившим! Лучше, чем в этом году я бой курантов ещё не встречала "
36,"Спасибо, Екатерина. Practice makes perfect, всем сил и этой самой perseverance."
37,"Спасибо за такое поздравление,Екатерина Михайловна!Да будет ,так!Вам и вашей семье счастья ,здоровья и мирной жизни в прекрасной России будущего!"
38,"ничто меня так не поддержало, как эта речь. спасибо вам, Екатерина Михайловна, вы всегда направляете нас мудрым словом и советом, даже в самые темные времена "
39,"Удивляюсь, как Вам удается сохранить капельку оптимизма даже в это непростое время! Спасибо! Счастья Вам и Вашей семье!!!"
40,"Самое лучшее поздравление ever )))) Екатерина Михайловна, с наступающим Вас! Всех благ! Мы бесконечно любим Вас и очень благодарны за все, что Вы делаете."
41,"Спасибо, Екатерина Михайловна! Поздравляю Вас, Директора канала, и всех ваших родных и близких! Моя мама, только что отпраздновавшая 85-летие (и родившаяся в один день со Stupor Mundi) присоединяется к поздравлениям."
42,"С новым годом вас, здоровья, успехов и благополучия, будьте счастливы!!!!"
43,"Господи, насколько ж светлая голова у человека! Ясный ум, чистая мораль, системное образование, легкий язык! Дай вам Бог здоровья, Екатерина Михайловна! С Новым годом вашу семью, пусть все будут здоровы!"
44,"Екатерина Михайловна, спасибо за новогоднее обращение. Всех с новым годом!"
45,"Смотрела вместо того самого поздравления, получила несравнимое удовлетворение. Спасибо, Екатерина Михайловна! Вам тоже сил, настойчивости и крепкого здоровья))"
46,"Самое лучшее новогоднее обращение! Вас тоже с Новым годом, Екатерина Михайловна!"
47,"Дорогая Екатерина Михайловна, а так же все её подписчики и поклонники!! Желаю Вам счастья, здоровья и любви в Новом году!!"
48,"Спасибо, Екатерина Михайловна и всем кто с вами работает над этим каналом! Здоровья, времени и желания в новом году!"
49,"Очень хороший фон, надеюсь когда-нибудь вы будите выступать на этом фоне по телевизору)"
50,"Дорогая, очень очень уважаемая и любимая Екатерина  Михайловна, спасибо Вам за прекрасную просветитительскую работу."
51,С наступившим Новым годом! 
52,"С новым годом вас, Екатерина Михайловна. Пусть у вас все будет хорошо и как-то полегче :)"
53,"Уважаемая Екатерина Михайловна, спасибо :). Предновогоднее обращение в десятку. И по форме, и уж тем более содержательно. Не сомневайтесь, то, что Вы делаете - более чем востребовано. Stay perseverant and keep the lead. С наступившим Вас и пусть все те, кто Вам дорог, Вас только радуют."
54,спасибо за всё!! с Вас началась моя влюблённость в политику и сейчас я поступаю на связанный с этим факультет 
55,"Спасибо за поздравления, Вас тоже с праздником! Ваш несломляемый позитив очень заразителен. "
56,"Поздравляю вас, непревзойденная Екатерина, и ваших прекрасных слушателей. С Новым годом, пусть каждый в будущем году будет счастлив так как никогда не был!"
57,"Екатерина Михайловна, спасибо вам огромное за это обращение "
58,"С Новым годом, Екатерина Михайловна! Счастье, что вы есть в этом мире, по ту сторону слов — спасибо вам!"
59,"Хорошие слова, Екатерина) благодарю и взаимно. От себя - здоровья, радостей и благостей  в новом году"
60,"Самое главное обращение 31 декабря! С наступающим, Екатерина Михайловна!"
61,"Господи, благодарю тебя за возможность выбора- чьи новогодние поздравления слушать,  и с кем смотреть в одну сторону "
62,Новогоднее обращение для здорового человека от здорового человека
63,"Екатерина, Вы наша гордость! Всех благ Вам!"
64,"Спасибо, дорогая наша! Ухитрились остаться в живых, продолжали заниматься своим делом, благодаря и вопреки! Здоровья Вам и Вашим близким!"
65,"Екатерина Михайловна, спасибо вам! Вы меня этом году вывели из того апатического состояния о которм мы часто говорим и я хоть и понемногу, но подключаюсь к общественной жизни.  С новым годом!"
66,"Спасибо, Екатерина Михайловна за вашу просветительскую деятельность вне стен учебных заведений. С новым годом вас и вашу семью! "
67,"Спасибо за подаренную иллюзию на 4:30 в то, что живёшь в стране, где у руля стоит человек, которым можно гордиться перед всеми развитыми странами мира и понимать, что дальше всё будет хорошо!"
68,"Екатерина Михайловна, спасибо Вам!!!! Благодаря Вам легче понять то, что происходит, в благодаря Вашему чувству юмора и переносить это легче.  С Новым годом Вас и Вашу замечательную семью! Будьте с нами в 22году и всегда!!!!"
69,"Большое Вам спасибо! Желаю и Вам не терять этой самой настойчивости, не отступать и наблюдать с каждым годом все больше поддержки. Мы готовы бороться за справедливость в нашей стране, готовы меняться сами и помогать это делать другим. Постепенно, со временем, но мы придем к тому, что люди перестанут быть друг для друга преградами и станут опорами. С Новым 2022 Годом!"
70,"Спасибо, Екатерина."
71,"""Не отступайте!"""
72,Спасибо Вам Екатерина Михайловна !!!!!!! Счастливого нового года !!!!!! Возьмём хорошее  для улучшения ..немного разного для настроения !!!!
73,"Смотрела в 23:56, чтобы ровненько было) Не хватило в конце более продолжительных курантов, а в остальном спасибо огромное! Очень очень люблю!! Всевозможных благ вам, Екатерина Михайловна!"
74,"Спасибо вам за то, что просвещаете нас. За ум, за профессиональность."
75,"Не могу отделаться от мысли, что смотрю обращение президента страны, какого достойна Россия."
76,"Спасибо! Вы потрясающая! Уважение уму и знаниям, жизненной позиции. С Новым годом!"
77,С Новым годом! Любим Вас! И всего самого хорошего Вам!
78,"Дорогая Екатерина Михайловна, спасибо за новогоднее обращение! Успехов вам в новом году!"
79,"Вы молодец, умница. Вам здоровья, счастья и исполнения всех ваших заветных желаний. И вашей семье тоже. Я и моя семья, а нас больше 20 человек, солидарны с вами  во всем"
80,С новом годом ЕКАТЕРИНА ВЕЛИКОЛЕПНАЯ!
81,"Дорогая и горячо любимая Екатерина Михайловна, с новым годом! Всех благ Вашей прекрасной семье! Спасибо за свет и знания, которые Вы дарите! Будьте счастливы!"
82,"Спасибо, Екатерина Михайловна, за отличное поздраление. Всего Вам добого."
